Wayfair Quarterly Net Income (Millions of US $),Wayfair Quarterly Net Income (Millions of US $).1
2024-06-30,$-42
2024-03-31,$-248
2023-12-31,$-174
2023-09-30,$-163
2023-06-30,$-46
2023-03-31,$-355
2022-12-31,$-351
2022-09-30,$-283
2022-06-30,$-378
2022-03-31,$-319
2021-12-31,$-202
2021-09-30,$-78
2021-06-30,$131
2021-03-31,$18
2020-12-31,$24
2020-09-30,$173
2020-06-30,$274
2020-03-31,$-286
2019-12-31,$-331
2019-09-30,$-272
2019-06-30,$-182
2019-03-31,$-200
2018-12-31,$-144
2018-09-30,$-152
2018-06-30,$-101
2018-03-31,$-108
2017-12-31,$-73
2017-09-30,$-76
2017-06-30,$-39
2017-03-31,$-57
2016-12-31,$-44
2016-09-30,$-61
2016-06-30,$-48
2016-03-31,$-41
2015-12-31,$-15
2015-09-30,$-15
2015-06-30,$-19
2015-03-31,$-27
2014-12-31,$-58
2014-09-30,$-29
2014-06-30,$-28
2014-03-31,$-35
2013-12-31,
2013-09-30,$-8
2013-06-30,
2012-12-31,
