Atkore Quarterly Net Income (Millions of US $),Atkore Quarterly Net Income (Millions of US $).1
2024-06-30,$123
2024-03-31,$138
2023-12-31,$136
2023-09-30,$133
2023-06-30,$201
2023-03-31,$174
2022-12-31,$171
2022-09-30,$217
2022-06-30,$250
2022-03-31,$230
2021-12-31,$201
2021-09-30,$196
2021-06-30,$172
2021-03-31,$125
2020-12-31,$83
2020-09-30,$53
2020-06-30,$24
2020-03-31,$38
2019-12-31,$34
2019-09-30,$44
2019-06-30,$37
2019-03-31,$29
2018-12-31,$26
2018-09-30,$31
2018-06-30,$34
2018-03-31,$43
2017-12-31,$27
2017-09-30,$21
2017-06-30,$27
2017-03-31,$19
2016-12-31,$17
2016-09-30,$16
2016-06-30,$21
2016-03-31,$14
2015-12-31,$9
2015-09-30,
2015-06-30,$19
2014-09-30,
2013-09-30,
