Sunrun Quarterly Net Income (Millions of US $),Sunrun Quarterly Net Income (Millions of US $).1
2024-06-30,$139
2024-03-31,$-88
2023-12-31,$-350
2023-09-30,"$-1,069"
2023-06-30,$55
2023-03-31,$-240
2022-12-31,$63
2022-09-30,$211
2022-06-30,$-12
2022-03-31,$-88
2021-12-31,$-39
2021-09-30,$24
2021-06-30,$-41
2021-03-31,$-24
2020-12-31,$-169
2020-09-30,$37
2020-06-30,$-14
2020-03-31,$-28
2019-12-31,$13
2019-09-30,$29
2019-06-30,$-1
2019-03-31,$-14
2018-12-31,$-6
2018-09-30,$-3
2018-06-30,$7
2018-03-31,$28
2017-12-31,$69
2017-09-30,$28
2017-06-30,$18
2017-03-31,$10
2016-12-31,$12
2016-09-30,$17
2016-06-30,$33
2016-03-31,$13
2015-12-31,$-7
2015-09-30,$-28
2015-06-30,$0
2015-03-31,$-18
2014-12-31,
2014-09-30,$-15
2014-06-30,$-17
2013-12-31,
