TopBuild Quarterly Net Income (Millions of US $),TopBuild Quarterly Net Income (Millions of US $).1
2024-06-30,$151
2024-03-31,$152
2023-12-31,$146
2023-09-30,$168
2023-06-30,$164
2023-03-31,$136
2022-12-31,$144
2022-09-30,$154
2022-06-30,$144
2022-03-31,$115
2021-12-31,$78
2021-09-30,$95
2021-06-30,$90
2021-03-31,$60
2020-12-31,$71
2020-09-30,$70
2020-06-30,$55
2020-03-31,$51
2019-12-31,$46
2019-09-30,$55
2019-06-30,$52
2019-03-31,$38
2018-12-31,$39
2018-09-30,$43
2018-06-30,$27
2018-03-31,$26
2017-12-31,$105
2017-09-30,$31
2017-06-30,$23
2017-03-31,$-2
2016-12-31,$21
2016-09-30,$25
2016-06-30,$16
2016-03-31,$11
2015-12-31,$60
2015-09-30,$17
2015-06-30,$6
2015-03-31,$-4
2014-12-31,
2014-09-30,$6
2014-06-30,$6
2013-12-31,
