BrightView Holdings Quarterly Net Income (Millions of US $),BrightView Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$25
2023-12-31,$-25
2023-09-30,$13
2023-06-30,$17
2023-03-31,$-22
2022-12-31,$-19
2022-09-30,$15
2022-06-30,$11
2022-03-31,$1
2021-12-31,$-13
2021-09-30,$27
2021-06-30,$25
2021-03-31,$6
2020-12-31,$-12
2020-09-30,$-6
2020-06-30,$-2
2020-03-31,$-21
2019-12-31,$-13
2019-09-30,$25
2019-06-30,$32
2019-03-31,$-4
2018-12-31,$-9
2018-09-30,$-11
2018-06-30,$-1
2018-03-31,$-22
2017-12-31,$19
2017-09-30,
2017-06-30,$15
2016-12-31,
