Alpha Metallurgical Resources Quarterly Net Income (Millions of US $),Alpha Metallurgical Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$59
2024-03-31,$127
2023-12-31,$176
2023-09-30,$94
2023-06-30,$181
2023-03-31,$271
2022-12-31,$221
2022-09-30,$253
2022-06-30,$574
2022-03-31,$401
2021-12-31,$257
2021-09-30,$83
2021-06-30,$-19
2021-03-31,$-33
2020-12-31,$-100
2020-09-30,$-69
2020-06-30,$-238
2020-03-31,$-40
2019-12-31,$-141
2019-09-30,$-69
2019-06-30,$-114
2019-03-31,$7
2018-12-31,$155
2018-09-30,$12
2018-06-30,$74
2018-03-31,$58
2017-12-31,$94
2017-09-30,$10
2017-06-30,$13
2017-03-31,$37
2016-12-31,
2016-06-30,$-28
2015-12-31,
2014-12-31,
