Marvell Technology Quarterly Net Income (Millions of US $),Marvell Technology Quarterly Net Income (Millions of US $).1
2024-04-30,$-216
2024-01-31,$-393
2023-10-31,$-164
2023-07-31,$-208
2023-04-30,$-169
2023-01-31,$-15
2022-10-31,$13
2022-07-31,$4
2022-04-30,$-166
2022-01-31,$6
2021-10-31,$-63
2021-07-31,$-276
2021-04-30,$-88
2021-01-31,$17
2020-10-31,$-23
2020-07-31,$-158
2020-04-30,$-113
2020-01-31,"$1,773"
2019-10-31,$-83
2019-07-31,$-57
2019-04-30,$-48
2019-01-31,$-261
2018-10-31,$-54
2018-07-31,$7
2018-04-30,$129
2018-01-31,$49
2017-10-31,$200
2017-07-31,$165
2017-04-30,$107
2017-01-31,$-80
2016-10-31,$73
2016-07-31,$51
2016-04-30,$-23
2016-01-31,$4
2015-10-31,$-58
2015-07-31,$-772
2015-04-30,$14
2015-01-31,$82
2014-10-31,$115
2014-07-31,$139
2014-04-30,$99
2014-01-31,$97
2013-10-31,$103
2013-07-31,$62
2013-04-30,$53
2013-01-31,$50
2012-10-31,$69
2012-07-31,$93
2012-04-30,$95
2012-01-31,$81
2011-10-31,$195
2011-07-31,$192
2011-04-30,$147
2011-01-31,$223
2010-10-31,$256
2010-07-31,$220
2010-04-30,$206
2010-01-31,$205
2009-10-31,$202
2009-07-31,$58
2009-04-30,$-111
2009-01-31,$-65
