Pitney Bowes Quarterly Net Income (Millions of US $),Pitney Bowes Quarterly Net Income (Millions of US $).1
2024-06-30,$-25
2024-03-31,$-3
2023-12-31,$-224
2023-09-30,$-13
2023-06-30,$-142
2023-03-31,$-8
2022-12-31,$6
2022-09-30,$5
2022-06-30,$4
2022-03-31,$21
2021-12-31,$1
2021-09-30,$9
2021-06-30,$20
2021-03-31,$-32
2020-12-31,$20
2020-09-30,$11
2020-06-30,$-3
2020-03-31,$-208
2019-12-31,$176
2019-09-30,$-3
2019-06-30,$24
2019-03-31,$-3
2018-12-31,$50
2018-09-30,$80
2018-06-30,$52
2018-03-31,$60
2017-12-31,$72
2017-09-30,$57
2017-06-30,$49
2017-03-31,$65
2016-12-31,$-84
2016-09-30,$66
2016-06-30,$54
2016-03-31,$58
2015-12-31,$86
2015-09-30,$89
2015-06-30,$152
2015-03-31,$81
2014-12-31,$63
2014-09-30,$132
2014-06-30,$94
2014-03-31,$45
2013-12-31,$90
2013-09-30,$-6
2013-06-30,$-9
2013-03-31,$68
2012-12-31,$110
2012-09-30,$77
2012-06-30,$100
2012-03-31,$159
2011-12-31,$257
2011-09-30,$173
2011-06-30,$101
2011-03-31,$86
2010-12-31,$63
2010-09-30,$89
2010-06-30,$61
2010-03-31,$79
2009-12-31,$99
2009-09-30,$103
2009-06-30,$117
2009-03-31,$104
