AMC Entertainment Holdings Quarterly Net Income (Millions of US $),AMC Entertainment Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-33
2024-03-31,$-164
2023-12-31,$-182
2023-09-30,$12
2023-06-30,$9
2023-03-31,$-236
2022-12-31,$-288
2022-09-30,$-227
2022-06-30,$-122
2022-03-31,$-337
2021-12-31,$-134
2021-09-30,$-224
2021-06-30,$-344
2021-03-31,$-567
2020-12-31,$-946
2020-09-30,$-906
2020-06-30,$-561
2020-03-31,"$-2,176"
2019-12-31,$-14
2019-09-30,$-55
2019-06-30,$49
2019-03-31,$-130
2018-12-31,$114
2018-09-30,$-100
2018-06-30,$22
2018-03-31,$18
2017-12-31,$-276
2017-09-30,$-43
2017-06-30,$-177
2017-03-31,$8
2016-12-31,$29
2016-09-30,$30
2016-06-30,$24
2016-03-31,$28
2015-12-31,$42
2015-09-30,$12
2015-06-30,$44
2015-03-31,$6
2014-12-31,$30
2014-09-30,$7
2014-06-30,$31
2014-03-31,$-5
2013-12-31,$280
2013-09-30,$33
2013-06-30,$62
2013-03-31,$-10
2012-12-31,
2012-03-31,
