Sonos Quarterly Net Income (Millions of US $),Sonos Quarterly Net Income (Millions of US $).1
2024-06-30,$4
2024-03-31,$-70
2023-12-31,$81
2023-09-30,$-31
2023-06-30,$-24
2023-03-31,$-31
2022-12-31,$75
2022-09-30,$-64
2022-06-30,$-1
2022-03-31,$9
2021-12-31,$123
2021-09-30,$-9
2021-06-30,$18
2021-03-31,$17
2020-12-31,$132
2020-09-30,$18
2020-06-30,$-57
2020-03-31,$-52
2019-12-31,$71
2019-09-30,$-30
2019-06-30,$-14
2019-03-31,$-23
2018-12-31,$62
2018-09-30,$19
2018-06-30,$-27
2018-03-31,$-33
2017-12-31,$25
2017-09-30,
2017-06-30,$-15
2016-09-30,
2015-09-30,
