Carlyle Group Quarterly Net Income (Millions of US $),Carlyle Group Quarterly Net Income (Millions of US $).1
2024-06-30,$148
2024-03-31,$66
2023-12-31,$-692
2023-09-30,$81
2023-06-30,$-98
2023-03-31,$101
2022-12-31,$127
2022-09-30,$281
2022-06-30,$245
2022-03-31,$572
2021-12-31,$648
2021-09-30,$533
2021-06-30,$925
2021-03-31,$869
2020-12-31,$519
2020-09-30,$296
2020-06-30,$146
2020-03-31,$-612
2019-12-31,$-8
2019-09-30,$68
2019-06-30,$148
2019-03-31,$137
2018-12-31,$-16
2018-09-30,$12
2018-06-30,$64
2018-03-31,$34
2017-12-31,$53
2017-09-30,$45
2017-06-30,$58
2017-03-31,$83
2016-12-31,$-9
2016-09-30,$1
2016-06-30,$6
2016-03-31,$8
2015-12-31,$-5
2015-09-30,$-84
2015-06-30,$31
2015-03-31,$40
2014-12-31,$16
2014-09-30,$25
2014-06-30,$20
2014-03-31,$25
2013-12-31,$71
2013-09-30,$2
2013-06-30,$-3
2013-03-31,$34
2012-12-31,$-617
2012-09-30,$19
2012-06-30,$-10
2012-03-31,$629
2011-12-31,$439
2011-09-30,$-350
2011-06-30,$372
2011-03-31,$896
2010-12-31,
2010-09-30,$571
2010-06-30,$304
2009-12-31,
