Ingersoll Rand Quarterly Net Income (Millions of US $),Ingersoll Rand Quarterly Net Income (Millions of US $).1
2024-06-30,$185
2024-03-31,$202
2023-12-31,$230
2023-09-30,$208
2023-06-30,$180
2023-03-31,$161
2022-12-31,$217
2022-09-30,$145
2022-06-30,$139
2022-03-31,$104
2021-12-31,$293
2021-09-30,$126
2021-06-30,$234
2021-03-31,$-90
2020-12-31,$152
2020-09-30,$30
2020-06-30,$-178
2020-03-31,$-37
2019-12-31,$26
2019-09-30,$41
2019-06-30,$45
2019-03-31,$47
2018-12-31,$95
2018-09-30,$72
2018-06-30,$60
2018-03-31,$42
2017-12-31,$144
2017-09-30,$28
2017-06-30,$-146
2017-03-31,$-7
2016-12-31,
2016-09-30,$-13
2016-06-30,$-4
2015-12-31,
2014-12-31,
