Equity Commonwealth Quarterly Net Income (Millions of US $),Equity Commonwealth Quarterly Net Income (Millions of US $).1
2024-06-30,$22
2024-03-31,$23
2023-12-31,$25
2023-09-30,$24
2023-06-30,$14
2023-03-31,$21
2022-12-31,$19
2022-09-30,$10
2022-06-30,$1
2022-03-31,$-1
2021-12-31,$-4
2021-09-30,$-5
2021-06-30,$-4
2021-03-31,$-12
2020-12-31,$-4
2020-09-30,$-2
2020-06-30,$26
2020-03-31,$423
2019-12-31,$14
2019-09-30,$22
2019-06-30,$240
2019-03-31,$209
2018-12-31,$13
2018-09-30,$31
2018-06-30,$35
2018-03-31,$186
2017-12-31,$-24
2017-09-30,$31
2017-06-30,$-8
2017-03-31,$22
2016-12-31,$10
2016-09-30,$84
2016-06-30,$71
2016-03-31,$39
2015-12-31,$36
2015-09-30,$23
2015-06-30,$6
2015-03-31,$7
2014-12-31,$-166
2014-09-30,$150
2014-06-30,$-18
2014-03-31,$9
2013-12-31,$-16
2013-09-30,$-227
2013-06-30,$8
2013-03-31,$15
2012-12-31,$-164
2012-09-30,$-0
2012-06-30,$2
2012-03-31,$10
2011-12-31,$1
2011-09-30,$15
2011-06-30,$9
2011-03-31,$38
2010-12-31,$7
2010-09-30,$53
2010-06-30,$-3
2010-03-31,$25
2009-12-31,$-23
2009-09-30,$60
2009-06-30,$47
2009-03-31,$30
