Azenta Quarterly Net Income (Millions of US $),Azenta Quarterly Net Income (Millions of US $).1
2024-06-30,$-7
2024-03-31,$-137
2023-12-31,$-16
2023-09-30,$3
2023-06-30,$-1
2023-03-31,$-5
2022-12-31,$-11
2022-09-30,$-21
2022-06-30,$-10
2022-03-31,"$2,120"
2021-12-31,$43
2021-09-30,$22
2021-06-30,$39
2021-03-31,$24
2020-12-31,$26
2020-09-30,$29
2020-06-30,$14
2020-03-31,$9
2019-12-31,$13
2019-09-30,$412
2019-06-30,$7
2019-03-31,$3
2018-12-31,$14
2018-09-30,$10
2018-06-30,$23
2018-03-31,$67
2017-12-31,$16
2017-09-30,$17
2017-06-30,$17
2017-03-31,$14
2016-12-31,$14
2016-09-30,$11
2016-06-30,$9
2016-03-31,$-84
2015-12-31,$-5
2015-09-30,$7
2015-06-30,$8
2015-03-31,$3
2014-12-31,$-3
2014-09-30,$0
2014-06-30,$24
2014-03-31,$3
2013-12-31,$3
2013-09-30,$6
2013-06-30,$2
2013-03-31,$-1
2012-12-31,$-9
2012-09-30,$116
2012-06-30,$8
2012-03-31,$10
2011-12-31,$3
2011-09-30,$13
2011-06-30,$67
2011-03-31,$27
2010-12-31,$23
2010-09-30,$25
2010-06-30,$17
2010-03-31,$21
2009-12-31,$-3
2009-09-30,$-14
2009-06-30,$-26
2009-03-31,$-153
