Matson Quarterly Net Income (Millions of US $),Matson Quarterly Net Income (Millions of US $).1
2024-06-30,$113
2024-03-31,$36
2023-12-31,$62
2023-09-30,$120
2023-06-30,$81
2023-03-31,$34
2022-12-31,$78
2022-09-30,$266
2022-06-30,$381
2022-03-31,$339
2021-12-31,$395
2021-09-30,$283
2021-06-30,$163
2021-03-31,$87
2020-12-31,$86
2020-09-30,$71
2020-06-30,$33
2020-03-31,$4
2019-12-31,$16
2019-09-30,$36
2019-06-30,$18
2019-03-31,$13
2018-12-31,$21
2018-09-30,$42
2018-06-30,$33
2018-03-31,$14
2017-12-31,$166
2017-09-30,$34
2017-06-30,$24
2017-03-31,$7
2016-12-31,$20
2016-09-30,$25
2016-06-30,$18
2016-03-31,$18
2015-12-31,$27
2015-09-30,$42
2015-06-30,$10
2015-03-31,$25
2014-12-31,$28
2014-09-30,$22
2014-06-30,$18
2014-03-31,$3
2013-12-31,$7
2013-09-30,$17
2013-06-30,$20
2013-03-31,$9
2012-12-31,$15
2012-09-30,$19
2012-06-30,$8
2012-03-31,$4
2011-12-31,$2
2011-09-30,$9
2011-06-30,$19
2011-03-31,$5
2010-12-31,$20
2010-09-30,$26
2010-06-30,$29
2010-03-31,$17
2009-12-31,$20
2009-09-30,$9
2009-06-30,$13
2009-03-31,$3
