Genesis Energy Quarterly Net Income (Millions of US $),Genesis Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$-31
2024-03-31,$-11
2023-12-31,$-10
2023-09-30,$36
2023-06-30,$26
2023-03-31,$-26
2022-12-31,$18
2022-09-30,$-15
2022-06-30,$17
2022-03-31,$-24
2021-12-31,$-87
2021-09-30,$-40
2021-06-30,$-60
2021-03-31,$-53
2020-12-31,$-104
2020-09-30,$-48
2020-06-30,$-345
2020-03-31,$6
2019-12-31,$4
2019-09-30,$-1
2019-06-30,$21
2019-03-31,$-2
2018-12-31,$-43
2018-09-30,$-18
2018-06-30,$-6
2018-03-31,$-9
2017-12-31,$-1
2017-09-30,$1
2017-06-30,$34
2017-03-31,$27
2016-12-31,$22
2016-09-30,$32
2016-06-30,$24
2016-03-31,$35
2015-12-31,$27
2015-09-30,$363
2015-06-30,$12
2015-03-31,$20
2014-12-31,$26
2014-09-30,$29
2014-06-30,$21
2014-03-31,$30
2013-12-31,$18
2013-09-30,$18
2013-06-30,$27
2013-03-31,$23
2012-12-31,$27
2012-09-30,$31
2012-06-30,$19
2012-03-31,$20
2011-12-31,$8
2011-09-30,$19
2011-06-30,$17
2011-03-31,$7
2010-12-31,$-6
2010-09-30,$5
2010-06-30,$14
2010-03-31,$7
2009-12-31,$6
2009-09-30,$4
2009-06-30,$4
2009-03-31,$5
