Red Rock Resorts Quarterly Net Income (Millions of US $),Red Rock Resorts Quarterly Net Income (Millions of US $).1
2024-06-30,$36
2024-03-31,$43
2023-12-31,$56
2023-09-30,$36
2023-06-30,$40
2023-03-31,$45
2022-12-31,$92
2022-09-30,$50
2022-06-30,$16
2022-03-31,$48
2021-12-31,$149
2021-09-30,$71
2021-06-30,$87
2021-03-31,$-65
2020-12-31,$7
2020-09-30,$66
2020-06-30,$-72
2020-03-31,$-152
2019-12-31,$5
2019-09-30,$-16
2019-06-30,$-4
2019-03-31,$11
2018-12-31,$-15
2018-09-30,$15
2018-06-30,$83
2018-03-31,$75
2017-12-31,$41
2017-09-30,
2017-06-30,$-26
2017-03-31,$20
2016-12-31,$20
2016-09-30,$8
2016-06-30,$0
2016-03-31,$6
2015-12-31,$72
2015-09-30,$19
2015-06-30,$3
2015-03-31,$44
2014-12-31,
2013-12-31,
