Champion Homes Quarterly Net Income (Millions of US $),Champion Homes Quarterly Net Income (Millions of US $).1
2024-06-30,$46
2024-03-31,$3
2023-12-31,$47
2023-09-30,$46
2023-06-30,$51
2023-03-31,$58
2022-12-31,$83
2022-09-30,$144
2022-06-30,$117
2022-03-31,$87
2021-12-31,$68
2021-09-30,$51
2021-06-30,$43
2021-03-31,$34
2020-12-31,$22
2020-09-30,$17
2020-06-30,$12
2020-03-31,$6
2019-12-31,$17
2019-09-30,$18
2019-06-30,$17
2019-03-31,$9
2018-12-31,$10
2018-09-30,$-77
2018-06-30,$-1
2018-03-31,$9
2018-02-28,$1
2017-12-31,$5
2017-11-30,$3
2017-09-30,$7
2017-08-31,$2
2017-06-30,$5
2017-05-31,$2
2017-03-31,$51
2017-02-28,$-2
2016-11-30,$-1
2016-08-31,$1
2016-05-31,$1
2016-02-29,$-1
2015-11-30,$2
2015-08-31,$-1
2015-05-31,$-0
2015-02-28,$-3
2014-11-30,$-3
2014-08-31,$-4
2014-05-31,$-3
2014-02-28,$-6
2013-11-30,$-2
2013-08-31,$-1
2013-05-31,$0
2013-02-28,$-5
2012-11-30,$-2
2012-08-31,$-3
2012-05-31,$-2
2012-02-29,$-7
2011-11-30,$-3
2011-08-31,$-7
2011-05-31,$-4
2011-02-28,$-9
2010-11-30,$-8
2010-08-31,$-6
2010-05-31,$-18
2010-02-28,$-4
2009-11-30,$-4
2009-08-31,$-4
2009-05-31,$-2
2009-02-28,$-5
