Microsoft Quarterly Net Income (Millions of US $),Microsoft Quarterly Net Income (Millions of US $).1
2024-06-30,"$22,036"
2024-03-31,"$21,939"
2023-12-31,"$21,870"
2023-09-30,"$22,291"
2023-06-30,"$20,081"
2023-03-31,"$18,299"
2022-12-31,"$16,425"
2022-09-30,"$17,556"
2022-06-30,"$16,740"
2022-03-31,"$16,728"
2021-12-31,"$18,765"
2021-09-30,"$20,505"
2021-06-30,"$16,458"
2021-03-31,"$15,457"
2020-12-31,"$15,463"
2020-09-30,"$13,893"
2020-06-30,"$11,202"
2020-03-31,"$10,752"
2019-12-31,"$11,649"
2019-09-30,"$10,678"
2019-06-30,"$13,187"
2019-03-31,"$8,809"
2018-12-31,"$8,420"
2018-09-30,"$8,824"
2018-06-30,"$8,873"
2018-03-31,"$7,424"
2017-12-31,"$-6,302"
2017-09-30,"$6,576"
2017-06-30,"$8,069"
2017-03-31,"$5,486"
2016-12-31,"$6,267"
2016-09-30,"$5,667"
2016-06-30,"$6,863"
2016-03-31,"$3,756"
2015-12-31,"$5,018"
2015-09-30,"$4,902"
2015-06-30,"$-3,195"
2015-03-31,"$4,985"
2014-12-31,"$5,863"
2014-09-30,"$4,540"
2014-06-30,"$4,612"
2014-03-31,"$5,660"
2013-12-31,"$6,558"
2013-09-30,"$5,244"
2013-06-30,"$4,965"
2013-03-31,"$6,055"
2012-12-31,"$6,377"
2012-09-30,"$4,466"
2012-06-30,$-492
2012-03-31,"$5,108"
2011-12-31,"$6,624"
2011-09-30,"$5,738"
2011-06-30,"$5,874"
2011-03-31,"$5,232"
2010-12-31,"$6,634"
2010-09-30,"$5,410"
2010-06-30,"$4,518"
2010-03-31,"$4,006"
2009-12-31,"$6,662"
2009-09-30,"$3,574"
2009-06-30,"$3,045"
2009-03-31,"$2,977"
