MasTec Quarterly Net Income (Millions of US $),MasTec Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$-41
2023-12-31,$1
2023-09-30,$14
2023-06-30,$16
2023-03-31,$-81
2022-12-31,$3
2022-09-30,$49
2022-06-30,$16
2022-03-31,$-35
2021-12-31,$77
2021-09-30,$111
2021-06-30,$75
2021-03-31,$66
2020-12-31,$113
2020-09-30,$116
2020-06-30,$57
2020-03-31,$36
2019-12-31,$101
2019-09-30,$129
2019-06-30,$120
2019-03-31,$43
2018-12-31,$32
2018-09-30,$121
2018-06-30,$80
2018-03-31,$27
2017-12-31,$161
2017-09-30,$64
2017-06-30,$82
2017-03-31,$41
2016-12-31,$54
2016-09-30,$56
2016-06-30,$24
2016-03-31,$-3
2015-12-31,$-77
2015-09-30,$8
2015-06-30,$-4
2015-03-31,$-6
2014-12-31,$21
2014-09-30,$49
2014-06-30,$34
2014-03-31,$12
2013-12-31,$42
2013-09-30,$46
2013-06-30,$35
2013-03-31,$18
2012-12-31,$36
2012-09-30,$27
2012-06-30,$30
2012-03-31,$14
2011-12-31,$9
2011-09-30,$32
2011-06-30,$44
2011-03-31,$21
2010-12-31,$39
2010-09-30,$30
2010-06-30,$15
2010-03-31,$7
2009-12-31,$18
2009-09-30,$22
2009-06-30,$19
2009-03-31,$12
