ABM Industries Quarterly Net Income (Millions of US $),ABM Industries Quarterly Net Income (Millions of US $).1
2024-07-31,$5
2024-04-30,$44
2024-01-31,$45
2023-10-31,$63
2023-07-31,$98
2023-04-30,$52
2023-01-31,$39
2022-10-31,$49
2022-07-31,$57
2022-04-30,$49
2022-01-31,$76
2021-10-31,$34
2021-07-31,$-14
2021-04-30,$31
2021-01-31,$75
2020-10-31,$53
2020-07-31,$56
2020-04-30,$-137
2020-01-31,$28
2019-10-31,$48
2019-07-31,$37
2019-04-30,$30
2019-01-31,$13
2018-10-31,$10
2018-07-31,$34
2018-04-30,$27
2018-01-31,$28
2017-10-31,$-4
2017-07-31,$33
2017-04-30,$31
2017-01-31,$-57
2016-10-31,$8
2016-07-31,$31
2016-04-30,$4
2016-01-31,$14
2015-10-31,$39
2015-07-31,$2
2015-04-30,$18
2015-01-31,$18
2014-10-31,$28
2014-07-31,$19
2014-04-30,$15
2014-01-31,$13
2013-10-31,$24
2013-07-31,$16
2013-04-30,$19
2013-01-31,$13
2012-10-31,$28
2012-07-31,$13
2012-04-30,$12
2012-01-31,$11
2011-10-31,$18
2011-07-31,$28
2011-04-30,$14
2011-01-31,$8
2010-10-31,$22
2010-07-31,$21
2010-04-30,$9
2010-01-31,$13
2009-10-31,$15
2009-07-31,$12
2009-04-30,$13
2009-01-31,$14
