Hello Group Quarterly Net Income (Millions of US $),Hello Group Quarterly Net Income (Millions of US $).1
2024-06-30,$55
2024-03-31,$1
2023-12-31,$66
2023-09-30,$75
2023-06-30,$78
2023-03-31,$57
2022-12-31,$55
2022-09-30,$63
2022-06-30,$52
2022-03-31,$46
2021-12-31,$-662
2021-09-30,$63
2021-06-30,$72
2021-03-31,$70
2020-12-31,$114
2020-09-30,$67
2020-06-30,$65
2020-03-31,$76
2019-12-31,$152
2019-09-30,$125
2019-06-30,$107
2019-03-31,$43
2018-12-31,$77
2018-09-30,$85
2018-06-30,$118
2018-03-31,$130
2017-12-31,$98
2017-09-30,$79
2017-06-30,$61
2017-03-31,$81
2016-12-31,$84
2016-09-30,$39
2016-06-30,$15
2016-03-31,$7
2015-12-31,$6
2015-09-30,$-1
2015-06-30,$2
2015-03-31,$7
2014-12-31,$-3
2014-09-30,$-24
2014-06-30,$-45
2014-03-31,$-4
2013-12-31,
2012-12-31,
