Fortinet Quarterly Net Income (Millions of US $),Fortinet Quarterly Net Income (Millions of US $).1
2024-06-30,$380
2024-03-31,$299
2023-12-31,$311
2023-09-30,$323
2023-06-30,$266
2023-03-31,$248
2022-12-31,$314
2022-09-30,$232
2022-06-30,$174
2022-03-31,$138
2021-12-31,$199
2021-09-30,$163
2021-06-30,$138
2021-03-31,$107
2020-12-31,$147
2020-09-30,$123
2020-06-30,$114
2020-03-31,$105
2019-12-31,$120
2019-09-30,$80
2019-06-30,$73
2019-03-31,$59
2018-12-31,$185
2018-09-30,$59
2018-06-30,$49
2018-03-31,$42
2017-12-31,$-29
2017-09-30,$27
2017-06-30,$23
2017-03-31,$11
2016-12-31,$25
2016-09-30,$6
2016-06-30,$-1
2016-03-31,$2
2015-12-31,$-3
2015-09-30,$8
2015-06-30,$1
2015-03-31,$2
2014-12-31,$7
2014-09-30,$4
2014-06-30,$6
2014-03-31,$8
2013-12-31,$12
2013-09-30,$11
2013-06-30,$9
2013-03-31,$12
2012-12-31,$22
2012-09-30,$17
2012-06-30,$14
2012-03-31,$14
2011-12-31,$16
2011-09-30,$18
2011-06-30,$14
2011-03-31,$14
2010-12-31,$16
2010-09-30,$14
2010-06-30,$7
2010-03-31,$4
2009-12-31,$44
2009-09-30,$6
2009-06-30,$0
2009-03-31,$-1
