Franklin BSP Realty Trust Quarterly Net Income (Millions of US $),Franklin BSP Realty Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$-9
2024-03-31,$29
2023-12-31,$23
2023-09-30,$25
2023-06-30,$33
2023-03-31,$37
2022-12-31,$21
2022-09-30,$28
2022-06-30,$-33
2022-03-31,$-44
2021-12-31,$-84
2021-09-30,$29
2021-06-30,$23
2021-03-31,$23
2020-12-31,$215
2020-09-30,$17
2020-06-30,$18
2020-03-31,$-209
2019-12-31,$149
2019-09-30,$-2
2019-06-30,$-68
2019-03-31,$-13
2018-12-31,$4
2018-09-30,$4
2018-06-30,$8
2018-03-31,$15
2017-12-31,$18
2017-09-30,$12
2017-06-30,$14
2017-03-31,$19
2016-12-31,$14
2016-09-30,$13
2016-06-30,$18
2016-03-31,$24
2015-12-31,$25
2015-09-30,$17
2015-06-30,$21
2015-03-31,$30
2014-12-31,$30
2014-09-30,$29
2014-06-30,$33
2014-03-31,$35
2013-12-31,$34
2013-09-30,$22
2013-06-30,$4
2013-03-31,$30
2012-12-31,$30
2012-09-30,$35
2012-06-30,$38
2012-03-31,$40
2011-12-31,$37
2011-09-30,$36
2011-06-30,$37
2011-03-31,$30
2010-12-31,$28
2010-09-30,$19
2010-06-30,$25
2010-03-31,$35
2009-12-31,$-2
2009-09-30,$37
2009-06-30,$37
2009-03-31,$37
