Carter's Quarterly Net Income (Millions of US $),Carter's Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$37
2023-12-31,$103
2023-09-30,$66
2023-06-30,$23
2023-03-31,$35
2022-12-31,$76
2022-09-30,$65
2022-06-30,$37
2022-03-31,$68
2021-12-31,$95
2021-09-30,$85
2021-06-30,$71
2021-03-31,$85
2020-12-31,$99
2020-09-30,$81
2020-06-30,$8
2020-03-31,$-79
2019-12-31,$125
2019-09-30,$60
2019-06-30,$44
2019-03-31,$34
2018-12-31,$130
2018-09-30,$71
2018-06-30,$37
2018-03-31,$42
2017-12-31,$137
2017-09-30,$82
2017-06-30,$38
2017-03-31,$47
2016-12-31,$85
2016-09-30,$81
2016-06-30,$36
2016-03-31,$54
2015-12-31,$72
2015-09-30,$79
2015-06-30,$36
2015-03-31,$49
2014-12-31,$70
2014-09-30,$65
2014-06-30,$26
2014-03-31,$34
2013-12-31,$42
2013-09-30,$56
2013-06-30,$19
2013-03-31,$41
2012-12-31,$48
2012-09-30,$59
2012-06-30,$21
2012-03-31,$32
2011-12-31,$34
2011-09-30,$34
2011-06-30,$13
2011-03-31,$32
2010-12-31,$34
2010-09-30,$50
2010-06-30,$19
2010-03-31,$43
2009-12-31,$33
2009-09-30,$49
2009-06-30,$17
2009-03-31,$17
