H World Group Quarterly Net Income (Millions of US $),H World Group Quarterly Net Income (Millions of US $).1
2024-06-30,$147
2024-03-31,$91
2023-09-30,$183
2023-06-30,$138
2023-03-31,$144
2022-12-31,$-12
2022-09-30,$-101
2022-06-30,$-52
2022-03-31,$-99
2021-12-31,$-72
2021-09-30,$-22
2021-06-30,$59
2021-03-31,$-38
2020-12-31,$72
2020-09-30,$-31
2020-06-30,$-76
2020-03-31,$-301
2019-12-31,$89
2019-09-30,$60
2019-06-30,$89
2019-03-31,$16
2018-12-31,$-65
2018-09-30,$97
2018-06-30,$51
2018-03-31,$20
2017-12-31,$41
2017-09-30,$71
2017-06-30,$57
2017-03-31,$22
2016-12-31,$14
2016-09-30,$44
2016-06-30,$47
2016-03-31,$11
2015-12-31,$9
2015-09-30,$35
2015-06-30,$24
2015-03-31,$-1
2014-12-31,$8
2014-09-30,$24
2014-06-30,$20
2014-03-31,$-2
2013-12-31,$10
2013-09-30,$20
2013-06-30,$16
2013-03-31,$0
2012-12-31,$3
2012-09-30,$15
2012-06-30,$11
2012-03-31,$-1
2011-12-31,$5
2011-09-30,$9
2011-06-30,$6
2011-03-31,$-2
2010-12-31,$5
2010-09-30,$13
2010-06-30,$12
2010-03-31,$2
2009-12-31,$3
2009-09-30,$3
