Sally Beauty Holdings Quarterly Net Income (Millions of US $),Sally Beauty Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$38
2024-03-31,$29
2023-12-31,$38
2023-09-30,$43
2023-06-30,$51
2023-03-31,$41
2022-12-31,$50
2022-09-30,$21
2022-06-30,$47
2022-03-31,$47
2021-12-31,$69
2021-09-30,$68
2021-06-30,$76
2021-03-31,$38
2020-12-31,$57
2020-09-30,$70
2020-06-30,$-24
2020-03-31,$13
2019-12-31,$53
2019-09-30,$69
2019-06-30,$71
2019-03-31,$66
2018-12-31,$66
2018-09-30,$55
2018-06-30,$58
2018-03-31,$61
2017-12-31,$83
2017-09-30,$36
2017-06-30,$67
2017-03-31,$57
2016-12-31,$56
2016-09-30,$53
2016-06-30,$68
2016-03-31,$60
2015-12-31,$42
2015-09-30,$56
2015-06-30,$62
2015-03-31,$62
2014-12-31,$55
2014-09-30,$62
2014-06-30,$68
2014-03-31,$58
2013-12-31,$58
2013-09-30,$65
2013-06-30,$72
2013-03-31,$65
2012-12-31,$59
2012-09-30,$66
2012-06-30,$69
2012-03-31,$68
2011-12-31,$30
2011-09-30,$54
2011-06-30,$69
2011-03-31,$49
2010-12-31,$41
2010-09-30,$42
2010-06-30,$41
2010-03-31,$35
2009-12-31,$26
2009-09-30,$27
2009-06-30,$31
2009-03-31,$25
