Novagold Resources Quarterly Net Income (Millions of US $),Novagold Resources Quarterly Net Income (Millions of US $).1
2024-08-31,$-11
2024-05-31,$-14
2024-02-29,$-10
2023-11-30,$-10
2023-08-31,$-11
2023-05-31,$-15
2023-02-28,$-11
2022-11-30,$-12
2022-08-31,$-16
2022-05-31,$-15
2022-02-28,$-10
2021-11-30,$-10
2021-08-31,$-12
2021-05-31,$-11
2021-02-28,$-8
2020-11-30,$-7
2020-08-31,$-13
2020-05-31,$-7
2020-02-29,$-7
2019-11-30,$-8
2019-08-31,$-8
2019-05-31,$-6
2019-02-28,$-6
2018-11-30,$-6
2018-08-31,$-89
2018-05-31,$-10
2018-02-28,$-8
2017-11-30,$-10
2017-08-31,$-10
2017-05-31,$-8
2017-02-28,$-10
2016-11-30,$-7
2016-08-31,$-7
2016-05-31,$-9
2016-02-29,$-10
2015-11-30,$-7
2015-08-31,$-6
2015-05-31,$-9
2015-02-28,$-9
2014-11-30,$-7
2014-08-31,$-12
2014-05-31,$-11
2014-02-28,$-11
2013-11-30,$-19
2013-08-31,$-20
2013-05-31,$-10
2013-02-28,$-14
2012-11-30,$-22
2012-08-31,$-22
2012-05-31,$92
2012-02-29,$17
2011-11-30,$-38
2011-08-31,$-56
2011-05-31,$-7
2011-02-28,$-70
2010-11-30,$-22
2010-08-31,$-142
2010-05-31,$-15
2010-02-28,$-19
2009-11-30,$-20
2009-08-31,$-17
2009-05-31,$-4
2009-02-28,$-23
