PJT Partners Quarterly Net Income (Millions of US $),PJT Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$28
2024-03-31,$33
2023-12-31,$25
2023-09-30,$17
2023-06-30,$22
2023-03-31,$17
2022-12-31,$25
2022-09-30,$21
2022-06-30,$19
2022-03-31,$26
2021-12-31,$35
2021-09-30,$21
2021-06-30,$23
2021-03-31,$27
2020-12-31,$46
2020-09-30,$31
2020-06-30,$22
2020-03-31,$19
2019-12-31,$17
2019-09-30,$7
2019-06-30,$5
2019-03-31,$1
2018-12-31,$7
2018-09-30,$8
2018-06-30,$7
2018-03-31,$5
2017-12-31,$-37
2017-09-30,$3
2017-06-30,$0
2017-03-31,$1
2016-12-31,$7
2016-09-30,$-10
2016-06-30,$-0
2016-03-31,$0
2015-12-31,$-11
2015-09-30,$42
2015-06-30,$-7
2015-03-31,$-16
2014-12-31,
2014-09-30,$-14
2013-12-31,
