Huntsman Quarterly Net Income (Millions of US $),Huntsman Quarterly Net Income (Millions of US $).1
2024-06-30,$22
2024-03-31,$-37
2023-12-31,$-71
2023-09-30,
2023-06-30,$19
2023-03-31,$153
2022-12-31,$-91
2022-09-30,$100
2022-06-30,$228
2022-03-31,$223
2021-12-31,$597
2021-09-30,$209
2021-06-30,$156
2021-03-31,$83
2020-12-31,$343
2020-09-30,$48
2020-06-30,$-62
2020-03-31,$705
2019-12-31,$303
2019-09-30,$30
2019-06-30,$110
2019-03-31,$119
2018-12-31,$-340
2018-09-30,$-11
2018-06-30,$414
2018-03-31,$274
2017-12-31,$246
2017-09-30,$147
2017-06-30,$167
2017-03-31,$76
2016-12-31,$129
2016-09-30,$55
2016-06-30,$86
2016-03-31,$56
2015-12-31,$4
2015-09-30,$55
2015-06-30,$29
2015-03-31,$5
2014-12-31,$-38
2014-09-30,$188
2014-06-30,$119
2014-03-31,$54
2013-12-31,$41
2013-09-30,$64
2013-06-30,$47
2013-03-31,$-24
2012-12-31,$-40
2012-09-30,$116
2012-06-30,$124
2012-03-31,$163
2011-12-31,$105
2011-09-30,$-34
2011-06-30,$114
2011-03-31,$62
2010-12-31,$30
2010-09-30,$55
2010-06-30,$114
2010-03-31,$-172
2009-12-31,$66
2009-09-30,$-68
2009-06-30,$406
2009-03-31,$-290
