Littelfuse Quarterly Net Income (Millions of US $),Littelfuse Quarterly Net Income (Millions of US $).1
2024-06-30,$45
2024-03-31,$48
2023-12-31,$43
2023-09-30,$58
2023-06-30,$70
2023-03-31,$89
2022-12-31,$93
2022-09-30,$75
2022-06-30,$87
2022-03-31,$118
2021-12-31,$52
2021-09-30,$92
2021-06-30,$82
2021-03-31,$58
2020-12-31,$59
2020-09-30,$55
2020-06-30,$-9
2020-03-31,$25
2019-12-31,$23
2019-09-30,$36
2019-06-30,$44
2019-03-31,$37
2018-12-31,$33
2018-09-30,$54
2018-06-30,$42
2018-03-31,$36
2017-12-31,$-11
2017-09-30,$43
2017-06-30,$49
2017-03-31,$39
2016-12-31,$27
2016-09-30,$31
2016-06-30,$27
2016-03-31,$19
2015-12-31,$21
2015-09-30,$11
2015-06-30,$29
2015-03-31,$20
2014-12-31,$18
2014-09-30,$30
2014-06-30,$25
2014-03-31,$25
2013-12-31,$24
2013-09-30,$27
2013-06-30,$27
2013-03-31,$11
2012-12-31,$12
2012-09-30,$23
2012-06-30,$23
2012-03-31,$18
2011-12-31,$15
2011-09-30,$25
2011-06-30,$25
2011-03-31,$22
2010-12-31,$19
2010-09-30,$23
2010-06-30,$20
2010-03-31,$15
2009-12-31,$12
2009-09-30,$8
2009-06-30,$-3
2009-03-31,$-8
