Hertz Global Holdings Quarterly Net Income (Millions of US $),Hertz Global Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-865
2024-03-31,$-186
2023-12-31,$-348
2023-09-30,$629
2023-06-30,$139
2023-03-31,$196
2022-12-31,$116
2022-09-30,$577
2022-06-30,$940
2022-03-31,$426
2021-12-31,$-677
2021-09-30,$571
2021-06-30,$-168
2021-03-31,$190
2020-12-31,$-289
2020-09-30,$-222
2020-06-30,$-847
2020-03-31,$-356
2019-12-31,$-118
2019-09-30,$169
2019-06-30,$38
2019-03-31,$-147
2018-12-31,$-101
2018-09-30,$141
2018-06-30,$-63
2018-03-31,$-202
2017-12-31,$615
2017-09-30,$93
2017-06-30,$-158
2017-03-31,$-223
2016-12-31,$-439
2016-09-30,$42
2016-06-30,$-43
2016-03-31,$-51
2015-12-31,$-2
2015-09-30,$237
2015-06-30,$36
2015-03-31,$2
