Oceaneering Quarterly Net Income (Millions of US $),Oceaneering Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$15
2023-12-31,$45
2023-09-30,$30
2023-06-30,$19
2023-03-31,$4
2022-12-31,$23
2022-09-30,$18
2022-06-30,$4
2022-03-31,$-19
2021-12-31,$-39
2021-09-30,$-7
2021-06-30,$6
2021-03-31,$-9
2020-12-31,$-25
2020-09-30,$-79
2020-06-30,$-25
2020-03-31,$-368
2019-12-31,$-263
2019-09-30,$-26
2019-06-30,$-35
2019-03-31,$-25
2018-12-31,$-64
2018-09-30,$-66
2018-06-30,$-33
2018-03-31,$-49
2017-12-31,$174
2017-09-30,$-2
2017-06-30,$2
2017-03-31,$-8
2016-12-31,$-11
2016-09-30,$-12
2016-06-30,$22
2016-03-31,$25
2015-12-31,$28
2015-09-30,$69
2015-06-30,$65
2015-03-31,$69
2014-12-31,$102
2014-09-30,$124
2014-06-30,$110
2014-03-31,$91
2013-12-31,$93
2013-09-30,$104
2013-06-30,$99
2013-03-31,$75
2012-12-31,$81
2012-09-30,$84
2012-06-30,$73
2012-03-31,$51
2011-12-31,$58
2011-09-30,$79
2011-06-30,$57
2011-03-31,$42
2010-12-31,$48
2010-09-30,$59
2010-06-30,$54
2010-03-31,$39
2009-12-31,$46
2009-09-30,$49
2009-06-30,$48
2009-03-31,$44
