Fiserv Quarterly Net Income (Millions of US $),Fiserv Quarterly Net Income (Millions of US $).1
2024-06-30,$894
2024-03-31,$735
2023-12-31,$870
2023-09-30,$952
2023-06-30,$683
2023-03-31,$563
2022-12-31,$782
2022-09-30,$481
2022-06-30,$598
2022-03-31,$669
2021-12-31,$333
2021-09-30,$428
2021-06-30,$269
2021-03-31,$304
2020-12-31,$300
2020-09-30,$264
2020-06-30,$2
2020-03-31,$392
2019-12-31,$247
2019-09-30,$198
2019-06-30,$223
2019-03-31,$225
2018-12-31,$286
2018-09-30,$227
2018-06-30,$251
2018-03-31,$423
2017-12-31,$546
2017-09-30,$232
2017-06-30,$221
2017-03-31,$247
2016-12-31,$215
2016-09-30,$214
2016-06-30,$212
2016-03-31,$289
2015-12-31,$407
2015-09-30,$218
2015-06-30,$127
2015-03-31,$178
2014-12-31,$181
2014-09-30,$239
2014-06-30,$166
2014-03-31,$168
2013-12-31,$221
2013-09-30,$159
2013-06-30,$151
2013-03-31,$117
2012-12-31,$179
2012-09-30,$139
2012-06-30,$161
2012-03-31,$132
2011-12-31,$143
2011-09-30,$127
2011-06-30,$90
2011-03-31,$112
2010-12-31,$116
2010-09-30,$132
2010-06-30,$127
2010-03-31,$121
2009-12-31,$118
2009-09-30,$115
2009-06-30,$140
2009-03-31,$103
