TXNM Energy Quarterly Net Income (Millions of US $),TXNM Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$48
2024-03-31,$47
2023-12-31,$-50
2023-09-30,$38
2023-06-30,$45
2023-03-31,$55
2022-12-31,$16
2022-09-30,$122
2022-06-30,$15
2022-03-31,$16
2021-12-31,$11
2021-09-30,$113
2021-06-30,$54
2021-03-31,$18
2020-12-31,$9
2020-09-30,$122
2020-06-30,$57
2020-03-31,$-15
2019-12-31,$32
2019-09-30,$103
2019-06-30,$-76
2019-03-31,$19
2018-12-31,$-55
2018-09-30,$88
2018-06-30,$38
2018-03-31,$15
2017-12-31,$-54
2017-09-30,$74
2017-06-30,$38
2017-03-31,$23
2016-12-31,$25
2016-09-30,$54
2016-06-30,$27
2016-03-31,$11
2015-12-31,$-91
2015-09-30,$61
2015-06-30,$32
2015-03-31,$14
2014-12-31,$19
2014-09-30,$56
2014-06-30,$29
2014-03-31,$12
2013-12-31,$8
2013-09-30,$55
2013-06-30,$28
2013-03-31,$11
2012-12-31,$9
2012-09-30,$58
2012-06-30,$22
2012-03-31,$17
2011-12-31,$112
2011-09-30,$44
2011-06-30,$4
2011-03-31,$17
2010-12-31,$-108
2010-09-30,$49
2010-06-30,$23
2010-03-31,$-8
2009-12-31,$-17
2009-09-30,$54
2009-06-30,$-2
2009-03-31,$90
