Gulfport Energy Quarterly Net Income (Millions of US $),Gulfport Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$-27
2024-03-31,$43
2023-12-31,$222
2023-09-30,$518
2023-06-30,$78
2023-03-31,$436
2022-12-31,$710
2022-09-30,$-20
2022-06-30,$216
2022-03-31,$-493
2021-12-31,$557
2021-09-30,$-463
2021-06-30,$32
2021-03-31,$9
2020-12-31,$-166
2020-09-30,$-381
2020-06-30,$-561
2020-03-31,$-518
2019-12-31,"$-1,815"
2019-09-30,$-485
2019-06-30,$235
2019-03-31,$62
2018-12-31,$134
2018-09-30,$95
2018-06-30,$111
2018-03-31,$90
2017-12-31,$157
2017-09-30,$18
2017-06-30,$106
2017-03-31,$154
2016-12-31,$-240
2016-09-30,$-157
2016-06-30,$-340
2016-03-31,$-242
2015-12-31,$-831
2015-09-30,$-388
2015-06-30,$-31
2015-03-31,$26
2014-12-31,$110
2014-09-30,$7
2014-06-30,$48
2014-03-31,$83
2013-12-31,$24
2013-09-30,$41
2013-06-30,$44
2013-03-31,$45
2012-12-31,$16
2012-09-30,$1
2012-06-30,$25
2012-03-31,$27
2011-12-31,$31
2011-09-30,$29
2011-06-30,$27
2011-03-31,$21
2010-12-31,$14
2010-09-30,$13
2010-06-30,$10
2010-03-31,$10
2009-12-31,$9
2009-09-30,$7
2009-06-30,$5
2009-03-31,$3
