Blackstone Mortgage Trust Quarterly Net Income (Millions of US $),Blackstone Mortgage Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$-61
2024-03-31,$-124
2023-12-31,$-2
2023-09-30,$30
2023-06-30,$102
2023-03-31,$118
2022-12-31,$-48
2022-09-30,$103
2022-06-30,$93
2022-03-31,$100
2021-12-31,$124
2021-09-30,$84
2021-06-30,$132
2021-03-31,$80
2020-12-31,$84
2020-09-30,$90
2020-06-30,$18
2020-03-31,$-53
2019-12-31,$79
2019-09-30,$75
2019-06-30,$75
2019-03-31,$77
2018-12-31,$74
2018-09-30,$78
2018-06-30,$72
2018-03-31,$61
2017-12-31,$58
2017-09-30,$58
2017-06-30,$51
2017-03-31,$51
2016-12-31,$53
2016-09-30,$65
2016-06-30,$63
2016-03-31,$57
2015-12-31,$65
2015-09-30,$67
2015-06-30,$29
2015-03-31,$35
2014-12-31,$21
2014-09-30,$22
2014-06-30,$33
2014-03-31,$13
2013-12-31,$7
2013-09-30,$8
2013-06-30,$3
2013-03-31,$-3
2012-12-31,$105
2012-09-30,$7
2012-06-30,$2
2012-03-31,$67
2011-12-31,$-8
2011-09-30,$14
2011-06-30,$-2
2011-03-31,$255
2010-12-31,$10
2010-09-30,$-135
2010-06-30,$3
2010-03-31,$-63
2009-12-31,$-390
2009-09-30,$-106
2009-06-30,$-6
2009-03-31,$-73
