Peloton Interactive Quarterly Net Income (Millions of US $),Peloton Interactive Quarterly Net Income (Millions of US $).1
2024-06-30,$-30
2024-03-31,$-167
2023-12-31,$-195
2023-09-30,$-159
2023-06-30,$-242
2023-03-31,$-276
2022-12-31,$-335
2022-09-30,$-409
2022-06-30,"$-1,255"
2022-03-31,$-757
2021-12-31,$-439
2021-09-30,$-376
2021-06-30,$-313
2021-03-31,$-9
2020-12-31,$64
2020-09-30,$69
2020-06-30,$89
2020-03-31,$-56
2019-12-31,$-55
2019-09-30,$-50
2019-06-30,$-47
2019-03-31,$-39
2018-12-31,$-105
2018-09-30,$-55
2018-06-30,
2017-06-30,
