Colgate-Palmolive Quarterly Net Income (Millions of US $),Colgate-Palmolive Quarterly Net Income (Millions of US $).1
2024-06-30,$731
2024-03-31,$683
2023-12-31,$718
2023-09-30,$708
2023-06-30,$502
2023-03-31,$372
2022-12-31,$5
2022-09-30,$618
2022-06-30,$603
2022-03-31,$559
2021-12-31,$148
2021-09-30,$634
2021-06-30,$703
2021-03-31,$681
2020-12-31,$647
2020-09-30,$698
2020-06-30,$635
2020-03-31,$715
2019-12-31,$643
2019-09-30,$578
2019-06-30,$586
2019-03-31,$560
2018-12-31,$606
2018-09-30,$523
2018-06-30,$637
2018-03-31,$634
2017-12-31,$323
2017-09-30,$607
2017-06-30,$524
2017-03-31,$570
2016-12-31,$606
2016-09-30,$702
2016-06-30,$600
2016-03-31,$533
2015-12-31,$-458
2015-09-30,$726
2015-06-30,$574
2015-03-31,$542
2014-12-31,$628
2014-09-30,$542
2014-06-30,$622
2014-03-31,$388
2013-12-31,$564
2013-09-30,$656
2013-06-30,$561
2013-03-31,$460
2012-12-31,$598
2012-09-30,$654
2012-06-30,$627
2012-03-31,$593
2011-12-31,$590
2011-09-30,$643
2011-06-30,$622
2011-03-31,$576
2010-12-31,$590
2010-09-30,$619
2010-06-30,$603
2010-03-31,$357
2009-12-31,$631
2009-09-30,$590
2009-06-30,$562
2009-03-31,$508
