"NextEra Energy Partners, LP Quarterly Net Income (Millions of US $)","NextEra Energy Partners, LP Quarterly Net Income (Millions of US $).1"
2024-06-30,$62
2024-03-31,$70
2023-12-31,$112
2023-09-30,$53
2023-06-30,$49
2023-03-31,$-14
2022-12-31,$35
2022-09-30,$79
2022-06-30,$219
2022-03-31,$144
2021-12-31,$-9
2021-09-30,$18
2021-06-30,$-74
2021-03-31,$202
2020-12-31,$64
2020-09-30,$56
2020-06-30,$47
2020-03-31,$-222
2019-12-31,$34
2019-09-30,$-72
2019-06-30,$-28
2019-03-31,$-22
2018-12-31,$-22
2018-09-30,$33
2018-06-30,$82
2018-03-31,$74
2017-12-31,$-90
2017-09-30,$1
2017-06-30,$13
2017-03-31,$12
2016-12-31,$43
2016-09-30,$27
2016-06-30,$8
2016-03-31,$5
2015-12-31,$3
2015-09-30,$1
2015-06-30,$4
2015-03-31,$2
2014-12-31,$-29
2014-09-30,$3
2014-06-30,$23
2014-03-31,$6
2013-12-31,
2013-09-30,$-2
2013-06-30,$8
2012-12-31,
