StoneX Group Quarterly Net Income (Millions of US $),StoneX Group Quarterly Net Income (Millions of US $).1
2024-06-30,$60
2024-03-31,$51
2023-12-31,$67
2023-09-30,$49
2023-06-30,$67
2023-03-31,$40
2022-12-31,$74
2022-09-30,$49
2022-06-30,$49
2022-03-31,$62
2021-12-31,$41
2021-09-30,$7
2021-06-30,$33
2021-03-31,$54
2020-12-31,$19
2020-09-30,$76
2020-06-30,$36
2020-03-31,$38
2019-12-31,$16
2019-09-30,$27
2019-06-30,$16
2019-03-31,$23
2018-12-31,$18
2018-09-30,$15
2018-06-30,$24
2018-03-31,$22
2017-12-31,$-7
2017-09-30,$-23
2017-06-30,$12
2017-03-31,$11
2016-12-31,$6
2016-09-30,$16
2016-06-30,$15
2016-03-31,$15
2015-12-31,$9
2015-09-30,$21
2015-06-30,$12
2015-03-31,$13
2014-12-31,$9
2014-09-30,$6
2014-06-30,$4
2014-03-31,$8
2013-12-31,$3
2013-09-30,$2
2013-06-30,$3
2013-03-31,$2
2012-12-31,$13
2012-09-30,$6
2012-06-30,$5
2012-03-31,$2
2011-12-31,$-0
2011-09-30,$5
2011-06-30,$10
2011-03-31,$15
2010-12-31,$4
2010-09-30,$-5
2010-06-30,$7
2010-03-31,$7
2009-12-31,$-4
2009-09-30,$17
2009-06-30,$4
2009-03-31,$4
