Banco Bilbao Viscaya Argentaria S.A Quarterly Net Income (Millions of US $),Banco Bilbao Viscaya Argentaria S.A Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,009"
2024-03-31,"$2,389"
2023-12-31,"$2,215"
2023-09-30,"$2,267"
2023-06-30,"$2,216"
2023-03-31,"$1,981"
2022-12-31,"$1,322"
2022-09-30,"$1,854"
2022-06-30,"$1,783"
2022-03-31,"$2,018"
2021-12-31,"$1,551"
2021-09-30,"$1,651"
2021-06-30,$845
2021-03-31,"$1,459"
2020-12-31,"$1,434"
2020-09-30,"$1,334"
2020-06-30,$700
2020-03-31,"$-1,977"
2019-12-31,$-187
2019-09-30,"$1,362"
2019-06-30,"$1,436"
2019-03-31,"$1,322"
2018-06-30,"$1,561"
2017-09-30,"$1,343"
2017-06-30,"$1,218"
2016-12-31,$718
2016-09-30,"$1,077"
2016-06-30,"$1,269"
2016-03-31,$782
2015-12-31,"$1,053"
2015-09-30,"$-1,176"
2015-06-30,"$1,353"
2015-03-31,"$1,704"
2014-12-31,$789
2014-09-30,$764
2014-06-30,$945
2014-03-31,$864
2013-12-31,"$-1,150"
2013-09-30,$258
2013-06-30,"$1,521"
2013-03-31,"$2,290"
2012-12-31,$27
2012-09-30,$189
2012-06-30,$618
2012-03-31,"$1,327"
2011-12-31,$-182
2011-09-30,"$1,138"
2011-06-30,"$1,696"
2011-03-31,"$1,572"
2010-12-31,"$1,291"
2010-09-30,"$1,471"
2010-06-30,"$1,642"
2010-03-31,"$1,719"
2009-12-31,$44
2009-09-30,"$1,972"
2009-06-30,"$2,126"
2009-03-31,"$1,619"
