Calliditas Therapeutics AB Sponsored ADR Quarterly Net Income (Millions of US $),Calliditas Therapeutics AB Sponsored ADR Quarterly Net Income (Millions of US $).1
2024-06-30,$-4
2024-03-31,$-24
2023-12-31,$-2
2023-09-30,$-16
2023-06-30,$-9
2023-03-31,$-18
2022-12-31,$2
2022-09-30,$-1
2022-06-30,$-20
2022-03-31,$-22
2021-12-31,$-26
2021-09-30,$1
2021-06-30,$-19
2021-03-31,$-15
2020-12-31,$-19
2020-09-30,$-16
2020-06-30,$-6
2020-03-31,$-7
2019-12-31,$-2
2019-09-30,$-5
2019-06-30,$9
2019-03-31,$-5
