Century Aluminum Quarterly Net Income (Millions of US $),Century Aluminum Quarterly Net Income (Millions of US $).1
2024-06-30,$-3
2024-03-31,$234
2023-12-31,$30
2023-09-30,$-42
2023-06-30,$7
2023-03-31,$-39
2022-12-31,$-107
2022-09-30,$42
2022-06-30,$35
2022-03-31,$17
2021-12-31,$60
2021-09-30,$-52
2021-06-30,$-35
2021-03-31,$-140
2020-12-31,$-36
2020-09-30,$-58
2020-06-30,$-27
2020-03-31,$-3
2019-12-31,$-5
2019-09-30,$-21
2019-06-30,$-21
2019-03-31,$-35
2018-12-31,$-65
2018-09-30,$-20
2018-06-30,$19
2018-03-31,$-0
2017-12-31,$38
2017-09-30,$19
2017-06-30,$7
2017-03-31,$-15
2016-12-31,$-168
2016-09-30,$-58
2016-06-30,$-10
2016-03-31,$-16
2015-12-31,$-37
2015-09-30,$-56
2015-06-30,$-34
2015-03-31,$68
2014-12-31,$82
2014-09-30,$46
2014-06-30,$19
2014-03-31,$-20
2013-12-31,$-9
2013-09-30,$-10
2013-06-30,$-29
2013-03-31,$8
2012-12-31,$-7
2012-09-30,$-12
2012-06-30,$-12
2012-03-31,$-4
2011-12-31,$-27
2011-09-30,$-7
2011-06-30,$22
2011-03-31,$23
2010-12-31,$66
2010-09-30,$-17
2010-06-30,$5
2010-03-31,$6
2009-12-31,$-24
2009-09-30,$40
2009-06-30,$-107
2009-03-31,$-115
