Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) Quarterly Net Income (Millions of US $),Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$61
2023-12-31,$5
2023-09-30,$251
2023-06-30,$-21
2023-03-31,$-52
2022-12-31,$-7
2022-09-30,$-45
2022-06-30,$-56
2022-03-31,$-26
2021-12-31,$-95
2021-09-30,$-6
2021-06-30,$-116
2021-03-31,$-7
2020-12-31,$-227
2020-09-30,$1
2020-06-30,$-38
2020-03-31,$12
2019-12-31,$-1
2019-09-30,$5
2019-06-30,$244
2019-03-31,$3
2018-12-31,$60
2018-09-30,$27
2018-06-30,$-9
2018-03-31,$74
2017-12-31,$1
2017-09-30,$17
2017-06-30,$-3
2017-03-31,$27
2016-12-31,$47
2016-09-30,$-44
2016-06-30,$-75
2016-03-31,$-9
2015-12-31,$13
2015-09-30,$23
2015-06-30,$28
2015-03-31,$54
2014-12-31,$-75
2014-09-30,$-96
2014-06-30,$2
2014-03-31,$-92
2013-12-31,$-11
2013-09-30,$-92
2013-06-30,$348
2013-03-31,$-102
2012-12-31,$-85
2012-09-30,$-60
2012-06-30,$-58
2012-03-31,$-21
2011-12-31,$-72
2011-09-30,$-9
2011-06-30,$-16
2011-03-31,$-7
2010-12-31,$-18
2010-09-30,$-0
2010-06-30,
2010-03-31,$1
2009-12-31,$25
2009-09-30,$2
2009-06-30,$12
2009-03-31,$8
