Bancorp Quarterly Net Income (Millions of US $),Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$54
2024-03-31,$56
2023-12-31,$44
2023-09-30,$50
2023-06-30,$49
2023-03-31,$49
2022-12-31,$40
2022-09-30,$31
2022-06-30,$30
2022-03-31,$29
2021-12-31,$27
2021-09-30,$28
2021-06-30,$29
2021-03-31,$26
2020-12-31,$24
2020-09-30,$23
2020-06-30,$20
2020-03-31,$13
2019-12-31,$2
2019-09-30,$20
2019-06-30,$11
2019-03-31,$18
2018-12-31,$7
2018-09-30,$61
2018-06-30,$6
2018-03-31,$14
2017-12-31,$-12
2017-09-30,$7
2017-06-30,$19
2017-03-31,$8
2016-12-31,$-29
2016-09-30,$-26
2016-06-30,$-31
2016-03-31,$-11
2015-12-31,$19
2015-09-30,$-6
2015-06-30,$0
2015-03-31,$0
2014-12-31,$20
2014-09-30,$25
2014-06-30,$10
2014-03-31,$2
2013-12-31,$-32
2013-09-30,$5
2013-06-30,$6
2013-03-31,$7
2012-12-31,$-55
2012-09-30,$4
2012-06-30,$4
2012-03-31,$4
2011-12-31,$3
2011-09-30,$2
2011-06-30,$1
2011-03-31,$3
2010-12-31,$2
2010-09-30,$1
2010-06-30,$0
2010-03-31,$-4
2009-12-31,$-1
2009-09-30,$1
2009-06-30,$0
2009-03-31,$0
