Itau Unibanco Holding S.A Quarterly Net Income (Millions of US $),Itau Unibanco Holding S.A Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,930"
2024-03-31,"$1,981"
2023-12-31,"$1,762"
2023-09-30,"$1,712"
2023-06-30,"$1,741"
2023-03-31,"$1,416"
2022-12-31,"$1,421"
2022-09-30,"$1,544"
2022-06-30,"$1,515"
2022-03-31,"$1,273"
2021-12-31,"$1,169"
2021-09-30,"$1,163"
2021-06-30,"$1,587"
2021-03-31,"$1,040"
2020-12-31,"$1,682"
2020-09-30,$881
2020-06-30,$321
2020-03-31,$781
2019-12-31,"$2,110"
2019-09-30,"$1,304"
2019-06-30,"$1,666"
2019-03-31,"$1,791"
2018-12-31,"$1,692"
2018-09-30,"$1,556"
2018-06-30,"$1,597"
2018-03-31,"$1,970"
2017-12-31,"$1,678"
2017-09-30,"$1,913"
2017-06-30,"$1,985"
2017-03-31,"$1,910"
2016-12-31,"$1,773"
2016-09-30,"$1,716"
2016-06-30,"$1,713"
2016-03-31,"$1,468"
2015-12-31,"$1,327"
2015-09-30,"$2,630"
2015-06-30,"$1,904"
2015-03-31,"$1,997"
2014-12-31,"$2,536"
2014-09-30,"$2,603"
2014-06-30,"$2,141"
2014-03-31,"$1,930"
2013-12-31,"$2,212"
2013-09-30,"$1,877"
2013-06-30,"$1,820"
2013-03-31,"$1,745"
2012-12-31,"$1,699"
2012-09-30,"$1,634"
2012-06-30,"$1,693"
2012-03-31,"$1,941"
2011-12-31,"$2,132"
2011-09-30,"$2,215"
2011-06-30,"$2,085"
2011-03-31,"$2,088"
2010-12-31,"$2,325"
2010-09-30,"$1,778"
2010-06-30,"$1,850"
2010-03-31,"$1,854"
2009-12-31,"$1,727"
2009-09-30,"$1,284"
2009-06-30,"$1,412"
2009-03-31,$874
