Tutor Perini Quarterly Net Income (Millions of US $),Tutor Perini Quarterly Net Income (Millions of US $).1
2024-06-30,$1
2024-03-31,$16
2023-12-31,$-48
2023-09-30,$-37
2023-06-30,$-38
2023-03-31,$-49
2022-12-31,$-93
2022-09-30,$-32
2022-06-30,$-63
2022-03-31,$-22
2021-12-31,$29
2021-09-30,$15
2021-06-30,$31
2021-03-31,$16
2020-12-31,$35
2020-09-30,$37
2020-06-30,$19
2020-03-31,$17
2019-12-31,$-86
2019-09-30,$19
2019-06-30,$-321
2019-03-31,$-0
2018-12-31,$49
2018-09-30,$21
2018-06-30,$25
2018-03-31,$-12
2017-12-31,$81
2017-09-30,$24
2017-06-30,$30
2017-03-31,$14
2016-12-31,$30
2016-09-30,$29
2016-06-30,$21
2016-03-31,$15
2015-12-31,$9
2015-09-30,$20
2015-06-30,$12
2015-03-31,$5
2014-12-31,$28
2014-09-30,$36
2014-06-30,$29
2014-03-31,$16
2013-12-31,$33
2013-09-30,$24
2013-06-30,$15
2013-03-31,$15
2012-12-31,$42
2012-09-30,$43
2012-06-30,$-348
2012-03-31,$-1
2011-12-31,$24
2011-09-30,$35
2011-06-30,$20
2011-03-31,$7
2010-12-31,$19
2010-09-30,$31
2010-06-30,$33
2010-03-31,$21
2009-12-31,$32
2009-09-30,$27
2009-06-30,$39
2009-03-31,$39
