Regal Rexnord Quarterly Net Income (Millions of US $),Regal Rexnord Quarterly Net Income (Millions of US $).1
2024-06-30,$63
2024-03-31,$20
2023-12-31,$56
2023-09-30,$-140
2023-06-30,$32
2023-03-31,$-6
2022-12-31,$102
2022-09-30,$120
2022-06-30,$142
2022-03-31,$126
2021-12-31,$-4
2021-09-30,$80
2021-06-30,$84
2021-03-31,$69
2020-12-31,$49
2020-09-30,$65
2020-06-30,$28
2020-03-31,$46
2019-12-31,$37
2019-09-30,$50
2019-06-30,$67
2019-03-31,$86
2018-12-31,$56
2018-09-30,$51
2018-06-30,$66
2018-03-31,$58
2017-12-31,$52
2017-09-30,$62
2017-06-30,$53
2017-03-31,$46
2016-12-31,$46
2016-09-30,$60
2016-06-30,$57
2016-03-31,$42
2015-12-31,$-19
2015-09-30,$63
2015-06-30,$63
2015-03-31,$36
2014-12-31,$-117
2014-09-30,$48
2014-06-30,$56
2014-03-31,$44
2013-12-31,$-33
2013-09-30,$53
2013-06-30,$51
2013-03-31,$50
2012-12-31,$30
2012-09-30,$54
2012-06-30,$63
2012-03-31,$49
2011-12-31,$34
2011-09-30,$46
2011-06-30,$34
2011-03-31,$39
2010-12-31,$25
2010-09-30,$45
2010-06-30,$42
2010-03-31,$38
2009-12-31,$35
2009-09-30,$31
2009-06-30,$16
2009-03-31,$13
