Shoe Carnival Quarterly Net Income (Millions of US $),Shoe Carnival Quarterly Net Income (Millions of US $).1
2024-07-31,$23
2024-04-30,$17
2024-01-31,$16
2023-10-31,$22
2023-07-31,$19
2023-04-30,$17
2023-01-31,$22
2022-10-31,$33
2022-07-31,$29
2022-04-30,$27
2022-01-31,$21
2021-10-31,$47
2021-07-31,$44
2021-04-30,$43
2021-01-31,$7
2020-10-31,$15
2020-07-31,$10
2020-04-30,$-16
2020-01-31,$4
2019-10-31,$14
2019-07-31,$12
2019-04-30,$14
2019-01-31,$1
2018-10-31,$12
2018-07-31,$12
2018-04-30,$13
2018-01-31,$-4
2017-10-31,$11
2017-07-31,$4
2017-04-30,$8
2017-01-31,$-1
2016-10-31,$9
2016-07-31,$4
2016-04-30,$10
2016-01-31,$4
2015-10-31,$9
2015-07-31,$5
2015-04-30,$10
2015-01-31,$3
2014-10-31,$11
2014-07-31,$3
2014-04-30,$9
2014-01-31,$1
2013-10-31,$11
2013-07-31,$6
2013-04-30,$9
2013-01-31,$3
2012-10-31,$12
2012-07-31,$3
2012-04-30,$11
2012-01-31,$3
2011-10-31,$10
2011-07-31,$3
2011-04-30,$10
2011-01-31,$4
2010-10-31,$9
2010-07-31,$4
2010-04-30,$9
2010-01-31,$3
2009-10-31,$7
2009-07-31,$1
2009-04-30,$4
2009-01-31,$-3
