Pool Quarterly Net Income (Millions of US $),Pool Quarterly Net Income (Millions of US $).1
2024-06-30,$191
2024-03-31,$78
2023-12-31,$51
2023-09-30,$137
2023-06-30,$231
2023-03-31,$101
2022-12-31,$71
2022-09-30,$189
2022-06-30,$306
2022-03-31,$178
2021-12-31,$103
2021-09-30,$185
2021-06-30,$260
2021-03-31,$99
2020-12-31,$59
2020-09-30,$119
2020-06-30,$158
2020-03-31,$31
2019-12-31,$18
2019-09-30,$80
2019-06-30,$131
2019-03-31,$33
2018-12-31,$17
2018-09-30,$69
2018-06-30,$117
2018-03-31,$31
2017-12-31,$26
2017-09-30,$49
2017-06-30,$95
2017-03-31,$22
2016-12-31,$3
2016-09-30,$45
2016-06-30,$85
2016-03-31,$16
2015-12-31,$2
2015-09-30,$39
2015-06-30,$78
2015-03-31,$8
2014-12-31,$-2
2014-09-30,$35
2014-06-30,$74
2014-03-31,$4
2013-12-31,$-5
2013-09-30,$32
2013-06-30,$67
2013-03-31,$3
2012-12-31,$-8
2012-09-30,$21
2012-06-30,$65
2012-03-31,$4
2011-12-31,$-10
2011-09-30,$24
2011-06-30,$59
2011-03-31,$-1
2010-12-31,$-12
2010-09-30,$23
2010-06-30,$53
2010-03-31,$-6
2009-12-31,$-14
2009-09-30,$-9
2009-06-30,$48
2009-03-31,$-6
