Motorola Solutions Quarterly Net Income (Millions of US $),Motorola Solutions Quarterly Net Income (Millions of US $).1
2024-06-30,$443
2024-03-31,$-39
2023-12-31,$596
2023-09-30,$464
2023-06-30,$371
2023-03-31,$278
2022-12-31,$589
2022-09-30,$279
2022-06-30,$228
2022-03-31,$267
2021-12-31,$401
2021-09-30,$307
2021-06-30,$293
2021-03-31,$244
2020-12-31,$412
2020-09-30,$205
2020-06-30,$135
2020-03-31,$197
2019-12-31,$243
2019-09-30,$267
2019-06-30,$207
2019-03-31,$151
2018-12-31,$422
2018-09-30,$247
2018-06-30,$180
2018-03-31,$117
2017-12-31,$-575
2017-09-30,$212
2017-06-30,$131
2017-03-31,$77
2016-12-31,$244
2016-09-30,$192
2016-06-30,$107
2016-03-31,$17
2015-12-31,$279
2015-09-30,$115
2015-06-30,$142
2015-03-31,$74
2014-12-31,$201
2014-09-30,$147
2014-06-30,$824
2014-03-31,$127
2013-12-31,$342
2013-09-30,$307
2013-06-30,$258
2013-03-31,$192
2012-12-31,$336
2012-09-30,$206
2012-06-30,$182
2012-03-31,$157
2011-12-31,$184
2011-09-30,$128
2011-06-30,$349
2011-03-31,$497
2010-12-31,$292
2010-09-30,$110
2010-06-30,$162
2010-03-31,$69
2009-12-31,$142
2009-09-30,$12
2009-06-30,$26
2009-03-31,$-231
