Darden Restaurants Quarterly Net Income (Millions of US $),Darden Restaurants Quarterly Net Income (Millions of US $).1
2024-05-31,$308
2024-02-29,$313
2023-11-30,$212
2023-08-31,$195
2023-05-31,$315
2023-02-28,$287
2022-11-30,$187
2022-08-31,$193
2022-05-31,$282
2022-02-28,$247
2021-11-30,$193
2021-08-31,$231
2021-05-31,$369
2021-02-28,$129
2020-11-30,$96
2020-08-31,$36
2020-05-31,$-480
2020-02-29,$232
2019-11-30,$25
2019-08-31,$171
2019-05-31,$208
2019-02-28,$224
2018-11-30,$116
2018-08-31,$166
2018-05-31,$175
2018-02-28,$218
2017-11-30,$85
2017-08-31,$119
2017-05-31,$124
2017-02-28,$166
2016-11-30,$80
2016-08-31,$110
2016-05-31,$140
2016-02-29,$106
2015-11-30,$43
2015-08-31,$86
2015-05-31,$105
2015-02-28,$134
2014-11-30,$-33
2014-08-31,$503
2014-05-31,$87
2014-02-28,$110
2013-11-30,$20
2013-08-31,$70
2013-05-31,$133
2013-02-28,$134
2012-11-30,$34
2012-08-31,$111
2012-05-31,$151
2012-02-29,$164
2011-11-30,$54
2011-08-31,$107
2011-05-31,$138
2011-02-28,$151
2010-11-30,$75
2010-08-31,$113
2010-05-31,$116
2010-02-28,$134
2009-11-30,$60
2009-08-31,$94
2009-05-31,$123
2009-02-28,$108
