Virtu Financial Quarterly Net Income (Millions of US $),Virtu Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$67
2024-03-31,$53
2023-12-31,$8
2023-09-30,$62
2023-06-30,$17
2023-03-31,$55
2022-12-31,$28
2022-09-30,$40
2022-06-30,$85
2022-03-31,$112
2021-12-31,$104
2021-09-30,$71
2021-06-30,$63
2021-03-31,$239
2020-12-31,$112
2020-09-30,$117
2020-06-30,$199
2020-03-31,$221
2019-12-31,$-18
2019-09-30,$-4
2019-06-30,$-30
2019-03-31,$-7
2018-12-31,$81
2018-09-30,$9
2018-06-30,$25
2018-03-31,$175
2017-12-31,$11
2017-09-30,$-14
2017-06-30,$1
2017-03-31,$5
2016-12-31,$7
2016-09-30,$7
2016-06-30,$8
2016-03-31,$10
2015-12-31,$-69
2015-09-30,$12
2015-06-30,$0
2015-03-31,$77
2014-12-31,$69
2014-09-30,$41
2014-06-30,$31
2014-03-31,$49
2013-12-31,
2012-12-31,
