Braskem S.A Quarterly Net Income (Millions of US $),Braskem S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$-716
2024-03-31,$-272
2023-12-31,$-302
2023-09-30,$-495
2023-06-30,$-156
2023-03-31,$36
2022-06-30,$-286
2022-03-31,$743
2021-12-31,$56
2021-09-30,$677
2021-06-30,"$1,402"
2021-03-31,$456
2020-12-31,$251
2020-09-30,$-263
2020-06-30,$-462
2020-03-31,$-824
2019-12-31,$-714
2019-09-30,$-224
2019-06-30,$21
2019-03-31,$273
2018-12-31,$-45
2018-09-30,$341
2018-06-30,$152
2018-03-31,$325
2017-12-31,$43
2017-09-30,$253
2017-06-30,$340
2017-03-31,$575
2016-12-31,$-687
2016-09-30,$252
2016-06-30,$118
2016-03-31,$199
2015-12-31,$65
2015-09-30,$448
2015-06-30,$357
2015-03-31,$88
2014-12-31,$-10
2014-09-30,$92
2014-06-30,$54
2014-03-31,$179
2013-12-31,$6
2013-09-30,$172
2013-06-30,$-56
2013-03-31,$113
2012-12-31,$139
2012-09-30,$-61
2012-06-30,$-511
2012-03-31,$78
2011-12-31,$-110
2011-09-30,$-594
2011-06-30,$262
2011-03-31,$192
2010-12-31,$217
2010-09-30,$326
2010-06-30,$25
2010-03-31,$-69
2009-12-31,$-596
2009-09-30,$657
2009-06-30,$592
2009-03-31,$4
