Phreesia Quarterly Net Income (Millions of US $),Phreesia Quarterly Net Income (Millions of US $).1
2024-07-31,$-18
2024-04-30,$-20
2024-01-31,$-31
2023-10-31,$-32
2023-07-31,$-37
2023-04-30,$-38
2023-01-31,$-38
2022-10-31,$-40
2022-07-31,$-47
2022-04-30,$-51
2022-01-31,$-46
2021-10-31,$-36
2021-07-31,$-24
2021-04-30,$-11
2021-01-31,$-8
2020-10-31,$-7
2020-07-31,$-6
2020-04-30,$-6
2020-01-31,$-4
2019-10-31,$-2
2019-07-31,$-71
2019-04-30,$-15
2019-01-31,
2018-10-31,$-13
2018-07-31,$-12
2018-01-31,
