RenaissanceRe Holdings Quarterly Net Income (Millions of US $),RenaissanceRe Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$488
2024-03-31,$360
2023-12-31,"$1,554"
2023-09-30,$191
2023-06-30,$188
2023-03-31,$555
2022-12-31,$448
2022-09-30,$-826
2022-06-30,$-325
2022-03-31,$-395
2021-12-31,$216
2021-09-30,$-450
2021-06-30,$451
2021-03-31,$-291
2020-12-31,$189
2020-09-30,$47
2020-06-30,$568
2020-03-31,$-82
2019-12-31,$33
2019-09-30,$36
2019-06-30,$363
2019-03-31,$271
2018-12-31,$-86
2018-09-30,$32
2018-06-30,$192
2018-03-31,$57
2017-12-31,$-2
2017-09-30,$-505
2017-06-30,$170
2017-03-31,$92
2016-12-31,$65
2016-09-30,$147
2016-06-30,$135
2016-03-31,$128
2015-12-31,$90
2015-09-30,$76
2015-06-30,$72
2015-03-31,$166
2014-12-31,$164
2014-09-30,$68
2014-06-30,$121
2014-03-31,$151
2013-12-31,$259
2013-09-30,$180
2013-06-30,$27
2013-03-31,$190
2012-12-31,$41
2012-09-30,$178
2012-06-30,$140
2012-03-31,$198
2011-12-31,$76
2011-09-30,$48
2011-06-30,$24
2011-03-31,$-242
2010-12-31,$119
2010-09-30,$200
2010-06-30,$205
2010-03-31,$161
2009-12-31,$212
2009-09-30,$253
2009-06-30,$265
2009-03-31,$95
