C.H Robinson Worldwide Quarterly Net Income (Millions of US $),C.H Robinson Worldwide Quarterly Net Income (Millions of US $).1
2024-06-30,$126
2024-03-31,$93
2023-12-31,$31
2023-09-30,$82
2023-06-30,$97
2023-03-31,$115
2022-12-31,$96
2022-09-30,$226
2022-06-30,$348
2022-03-31,$270
2021-12-31,$230
2021-09-30,$247
2021-06-30,$194
2021-03-31,$173
2020-12-31,$148
2020-09-30,$137
2020-06-30,$144
2020-03-31,$78
2019-12-31,$99
2019-09-30,$147
2019-06-30,$169
2019-03-31,$162
2018-12-31,$187
2018-09-30,$176
2018-06-30,$159
2018-03-31,$142
2017-12-31,$153
2017-09-30,$119
2017-06-30,$111
2017-03-31,$122
2016-12-31,$122
2016-09-30,$129
2016-06-30,$143
2016-03-31,$119
2015-12-31,$127
2015-09-30,$139
2015-06-30,$137
2015-03-31,$106
2014-12-31,$113
2014-09-30,$125
2014-06-30,$119
2014-03-31,$93
2013-12-31,$93
2013-09-30,$108
2013-06-30,$112
2013-03-31,$103
2012-12-31,$256
2012-09-30,$116
2012-06-30,$115
2012-03-31,$107
2011-12-31,$109
2011-09-30,$114
2011-06-30,$111
2011-03-31,$97
2010-12-31,$103
2010-09-30,$103
2010-06-30,$97
2010-03-31,$84
2009-12-31,$88
2009-09-30,$95
2009-06-30,$92
2009-03-31,$85
