Wendy's Quarterly Net Income (Millions of US $),Wendy's Quarterly Net Income (Millions of US $).1
2024-06-30,$55
2024-03-31,$42
2023-12-31,$47
2023-09-30,$58
2023-06-30,$60
2023-03-31,$40
2022-12-31,$41
2022-09-30,$51
2022-06-30,$48
2022-03-31,$37
2021-12-31,$52
2021-09-30,$41
2021-06-30,$66
2021-03-31,$41
2020-12-31,$39
2020-09-30,$40
2020-06-30,$25
2020-03-31,$14
2019-12-31,$27
2019-09-30,$46
2019-06-30,$32
2019-03-31,$32
2018-12-31,$19
2018-09-30,$391
2018-06-30,$30
2018-03-31,$20
2017-12-31,$159
2017-09-30,$14
2017-06-30,$-2
2017-03-31,$22
2016-12-31,$29
2016-09-30,$49
2016-06-30,$26
2016-03-31,$25
2015-12-31,$86
2015-09-30,$8
2015-06-30,$40
2015-03-31,$28
2014-12-31,$23
2014-09-30,$23
2014-06-30,$29
2014-03-31,$46
2013-12-31,$33
2013-09-30,$-2
2013-06-30,$12
2013-03-31,$2
2012-12-31,$26
2012-09-30,$-26
2012-06-30,$-5
2012-03-31,$12
2011-12-31,$4
2011-09-30,$-4
2011-06-30,$11
2011-03-31,$-1
2010-12-31,$-11
2010-09-30,$-1
2010-06-30,$11
2010-03-31,$-3
2009-12-31,$-14
2009-09-30,$15
2009-06-30,$15
2009-03-31,$-11
