GDS Holdings Quarterly Net Income (Millions of US $),GDS Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-33
2024-03-31,$-50
2023-12-31,$-452
2023-09-30,$-60
2023-06-30,$-33
2023-03-31,$-69
2022-12-31,$-26
2022-09-30,$-50
2022-06-30,$-58
2022-03-31,$-91
2021-09-30,$-52
2021-06-30,$-50
2020-12-31,$-45
2020-09-30,$-31
2020-06-30,$-16
2020-03-31,$-15
2019-12-31,$-17
2019-09-30,$-17
2019-06-30,$-15
2019-03-31,$-23
2018-12-31,$-19
2018-09-30,$-17
2018-06-30,$-15
2018-03-31,$-14
2017-12-31,$-17
2017-09-30,$-14
2017-06-30,$-11
2017-03-31,$-6
2016-12-31,$-25
2016-09-30,$-13
2016-06-30,$-18
2016-03-31,$-6
2015-12-31,$-4
2015-09-30,$-4
