XPeng Quarterly Net Income (Millions of US $),XPeng Quarterly Net Income (Millions of US $).1
2024-06-30,$-177
2024-03-31,$-189
2023-12-31,$-206
2023-09-30,$-533
2023-06-30,$-387
2023-03-31,$-340
2022-12-31,$-352
2022-09-30,$-334
2022-06-30,$-403
2022-03-31,$-268
2021-12-31,$-201
2021-09-30,$-248
2021-06-30,$-185
2021-03-31,$-120
2020-12-31,$-121
2020-09-30,
2019-12-31,
