"Boise Cascade, L.L.C Quarterly Net Income (Millions of US $)","Boise Cascade, L.L.C Quarterly Net Income (Millions of US $).1"
2024-06-30,$112
2024-03-31,$104
2023-12-31,$98
2023-09-30,$143
2023-06-30,$146
2023-03-31,$97
2022-12-31,$117
2022-09-30,$220
2022-06-30,$218
2022-03-31,$303
2021-12-31,$169
2021-09-30,$92
2021-06-30,$303
2021-03-31,$149
2020-12-31,$26
2020-09-30,$103
2020-06-30,$34
2020-03-31,$12
2019-12-31,$15
2019-09-30,$27
2019-06-30,$28
2019-03-31,$11
2018-12-31,$-72
2018-09-30,$14
2018-06-30,$42
2018-03-31,$37
2017-12-31,$19
2017-09-30,$32
2017-06-30,$22
2017-03-31,$10
2016-12-31,$4
2016-09-30,$10
2016-06-30,$19
2016-03-31,$5
2015-12-31,$2
2015-09-30,$22
2015-06-30,$20
2015-03-31,$8
2014-12-31,$16
2014-09-30,$32
2014-06-30,$26
2014-03-31,$6
2013-12-31,$10
2013-09-30,$16
2013-06-30,$10
2013-03-31,$81
2012-12-31,$1
2012-09-30,$24
2012-06-30,$15
2012-03-31,$2
2011-12-31,
2010-12-31,
