Suburban Propane Partners Quarterly Net Income (Millions of US $),Suburban Propane Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$-17
2024-03-31,$112
2023-12-31,$24
2023-09-30,$-21
2023-06-30,$-5
2023-03-31,$104
2022-12-31,$45
2022-09-30,$-54
2022-06-30,$-3
2022-03-31,$175
2021-12-31,$21
2021-09-30,$-16
2021-06-30,$-26
2021-03-31,$127
2020-12-31,$38
2020-09-30,$-41
2020-06-30,$-16
2020-03-31,$77
2019-12-31,$40
2019-09-30,$-51
2019-06-30,$-29
2019-03-31,$121
2018-12-31,$28
2018-09-30,$-51
2018-06-30,$-17
2018-03-31,$107
2017-12-31,$37
2017-09-30,$-51
2017-06-30,$-30
2017-03-31,$84
2016-12-31,$34
2016-09-30,$-60
2016-06-30,$-30
2016-03-31,$92
2015-12-31,$12
2015-09-30,$-67
2015-06-30,$-41
2015-03-31,$137
2014-12-31,$56
2014-09-30,$-55
2014-06-30,$-59
2014-03-31,$150
2013-12-31,$59
2013-09-30,$-63
2013-06-30,$-45
2013-03-31,$129
2012-12-31,$58
2012-09-30,$-63
2012-06-30,$-9
2012-03-31,$50
2011-12-31,$23
2011-09-30,$-22
2011-06-30,$-7
2011-03-31,$100
2010-12-31,$43
2010-09-30,$-25
2010-06-30,$-7
2010-03-31,$98
2009-12-31,$48
2009-09-30,$-23
2009-06-30,$-7
2009-03-31,$115
