Altice USA Quarterly Net Income (Millions of US $),Altice USA Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$-21
2023-12-31,$-118
2023-09-30,$67
2023-06-30,$78
2023-03-31,$26
2022-12-31,$-193
2022-09-30,$85
2022-06-30,$106
2022-03-31,$197
2021-12-31,$252
2021-09-30,$267
2021-06-30,$198
2021-03-31,$274
2020-12-31,$330
2020-09-30,$-5
2020-06-30,$111
2020-03-31,$-1
2019-12-31,$0
2019-09-30,$77
2019-06-30,$86
2019-03-31,$-25
2018-12-31,$213
2018-09-30,$33
2018-06-30,$-98
2018-03-31,$-129
2017-12-31,"$2,242"
2017-09-30,$-193
2017-06-30,$-480
2017-03-31,$-76
2016-12-31,
2016-09-30,$-173
2016-06-30,$-282
